user_id,song_id,play_count
01544f0766a04549d44cb2a5c7b964841dd81710,SOSDIIE12A6D4F8DA7,25
01544f0766a04549d44cb2a5c7b964841dd81710,SORIQID12AF72A1CA9,1
01544f0766a04549d44cb2a5c7b964841dd81710,SOFGJCW12AF72A812D,1
01544f0766a04549d44cb2a5c7b964841dd81710,SOLHAAI12AB0183D5B,1
01544f0766a04549d44cb2a5c7b964841dd81710,SOZBAEJ12A58A77C8F,6
01544f0766a04549d44cb2a5c7b964841dd81710,SOBPPNQ12A8C143AF6,1
04b8eaef46241d101d2fdd413882d495e1b4e817,SODGVGW12AC9075A8D,1
04b8eaef46241d101d2fdd413882d495e1b4e817,SOWVJGX12AB0185998,1
04b8eaef46241d101d2fdd413882d495e1b4e817,SOWQUNX12A58A7FF79,1
04b8eaef46241d101d2fdd413882d495e1b4e817,SOMIHYA12AB018DD37,8
04b8eaef46241d101d2fdd413882d495e1b4e817,SOOBYPW12AB018DD4A,4
0a54b35d410ca7051fa1f2e6703cba4a59bef462,SOTNEEA12A6D4F7F8D,20
0a54b35d410ca7051fa1f2e6703cba4a59bef462,SOQZOMP12A6D4FD39D,5
0a54b35d410ca7051fa1f2e6703cba4a59bef462,SOPUUQJ12AF72A5748,2
0a54b35d410ca7051fa1f2e6703cba4a59bef462,SOEGIYH12A6D4FC0E3,1
0a54b35d410ca7051fa1f2e6703cba4a59bef462,SOLOCFZ12A8C13C78A,3
122db6bdada55286acab5dc2006a6ed21fc66bfe,SOFWTPV12A8C131960,4
122db6bdada55286acab5dc2006a6ed21fc66bfe,SOMXBFC12AB018AC71,4
122db6bdada55286acab5dc2006a6ed21fc66bfe,SOFEGST12A58A7D682,2
122db6bdada55286acab5dc2006a6ed21fc66bfe,SOGZCOB12A8C14280E,4
122db6bdada55286acab5dc2006a6ed21fc66bfe,SOJZATK12A6D4FAD0F,4
122db6bdada55286acab5dc2006a6ed21fc66bfe,SOPEFDW12AF72A1709,6
122db6bdada55286acab5dc2006a6ed21fc66bfe,SOFLRNC12AB0189124,1
122db6bdada55286acab5dc2006a6ed21fc66bfe,SOPPROJ12AB0184E18,4
0ad9eb97e7ecdc488f866960609c4398687f0be1,SOWAIOL12A8C1447BE,2
0ad9eb97e7ecdc488f866960609c4398687f0be1,SORKUHX12A58A7AAFB,3
0ad9eb97e7ecdc488f866960609c4398687f0be1,SOQSYLG12A8C142400,2
0ad9eb97e7ecdc488f866960609c4398687f0be1,SOPMUMK12A8C13BA3F,2
0ad9eb97e7ecdc488f866960609c4398687f0be1,SOTTITO12A8C13BA38,3
0ad9eb97e7ecdc488f866960609c4398687f0be1,SOPSOQO12AC468AB80,2
0ad9eb97e7ecdc488f866960609c4398687f0be1,SOFPADZ12A8C13BA41,3
0ad9eb97e7ecdc488f866960609c4398687f0be1,SONYZEX12A8C13BA53,4
0ad9eb97e7ecdc488f866960609c4398687f0be1,SOEDVGC12A8C13C172,3
0ad9eb97e7ecdc488f866960609c4398687f0be1,SONCRBB12AB01890A7,1
0cf77d306c319728ea29a38d8f897289048de4c1,SOILFUU12AB017C75F,2
0cf77d306c319728ea29a38d8f897289048de4c1,SOLCGBF12A58A7A025,4
0cf77d306c319728ea29a38d8f897289048de4c1,SOFGJCW12AF72A812D,1
0cf77d306c319728ea29a38d8f897289048de4c1,SOZOWON12A67ADA091,1
0cf77d306c319728ea29a38d8f897289048de4c1,SOTJDDY12AB017DC5B,2
0cf77d306c319728ea29a38d8f897289048de4c1,SOQJLWB12A6701E7B3,1
0cf77d306c319728ea29a38d8f897289048de4c1,SOPAYPV12AB017DB0C,2
0cf77d306c319728ea29a38d8f897289048de4c1,SOXWYZP12AF72A42A6,3
0cf77d306c319728ea29a38d8f897289048de4c1,SOJYBJZ12AB01801D0,3
0cf77d306c319728ea29a38d8f897289048de4c1,SOHFNKO12AB017C772,2
0cf77d306c319728ea29a38d8f897289048de4c1,SOPACYC12AF729D0F7,2
0cf77d306c319728ea29a38d8f897289048de4c1,SOIRUXQ12A8C133060,1
0cf77d306c319728ea29a38d8f897289048de4c1,SOAFAXA12A58A7BB11,2
0cf77d306c319728ea29a38d8f897289048de4c1,SOKJFOA12A6D4F79DF,1
0cf77d306c319728ea29a38d8f897289048de4c1,SOAXGDH12A8C13F8A1,2
0d717c596408139abc9c4f9f009f2d9a5a9c224b,SOCJTQY12AC3DF6A6C,1
0d717c596408139abc9c4f9f009f2d9a5a9c224b,SOBMRSE12AC3DF6146,1
0d717c596408139abc9c4f9f009f2d9a5a9c224b,SOGKIIA12AC3DF6119,1
0d717c596408139abc9c4f9f009f2d9a5a9c224b,SOMFIVT12AC3DF611B,1
0d717c596408139abc9c4f9f009f2d9a5a9c224b,SOLGNDY12AC3DF613A,1
0317706676ed2e2889552894b120ef82443ccf92,SOHGWFC12AB017F2E7,1
0317706676ed2e2889552894b120ef82443ccf92,SOSNKYU12AF729FF70,1
0317706676ed2e2889552894b120ef82443ccf92,SOCWYXX12A58A7D807,1
0317706676ed2e2889552894b120ef82443ccf92,SOBHAGT12A6D4FABD8,1
0317706676ed2e2889552894b120ef82443ccf92,SOSHDXD12A8C1427A7,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOVNQSI12A6D4FBE9D,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOCGHHI12A8C13A459,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOURDOP12A58A7EF02,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOBARPG12AB018355C,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOWBQYP12AF7299AC3,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SODLVDX12A6310DF22,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOWGPBV12A6D4FC048,10
156d72a47e3462d065f06b5b3a12e2e7c1129853,SONNPYP12A6701E8DC,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOREBOB12A6D4F7986,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOBTVDE12AF72A3DE5,3
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOJDCEE12A6701C5B3,26
156d72a47e3462d065f06b5b3a12e2e7c1129853,SONIEQI12AF72A9822,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOAPLWH12A8C140D4F,4
156d72a47e3462d065f06b5b3a12e2e7c1129853,SORJBIX12A6D4FB9C5,5
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOXDJQT12AB0186B57,2
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOBPBVW12A6701FFFB,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOKVOTS12A8C1421F3,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SODZHVJ12A8C13DB29,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOYPUMY12A6D4F5FD8,5
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOTXACG12A8C144082,7
156d72a47e3462d065f06b5b3a12e2e7c1129853,SORYMAX12AB01836C7,6
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOGHSQA12A8C14098E,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOPVXJB12A6D4F47A1,2
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOGDJPO12A8C13C1F9,7
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOEUORE12A8C13953D,5
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOBZTBV12A8C1411D0,6
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOEWTBE12A58A7E7C2,3
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOFBBZQ12A8C134EDB,1
156d72a47e3462d065f06b5b3a12e2e7c1129853,SOAGNRU12A58A7AC5C,1
034ad0033d630d3603fff0b1c22de1e1bc6f5328,SOQZYQH12A8AE468E5,7
